epoch, wall, LR,training_loss_e,training_loss,training_e/N_mae,validation_loss_e,validation_loss,validation_e/N_mae
       125, 6536.679,    0.005,       2.9441e-06,       2.9441e-06,     2.24e-05,        1.291e-06,        1.291e-06,     1.47e-05
       126, 6589.645,    0.005,       2.1474e-06,       2.1474e-06,      1.9e-05,       1.2308e-06,       1.2308e-06,     1.45e-05
       127, 6642.371,    0.005,       1.8838e-06,       1.8838e-06,     1.78e-05,       1.2035e-06,       1.2035e-06,     1.45e-05
       128, 6695.902,    0.005,       2.8183e-06,       2.8183e-06,     2.13e-05,       1.1752e-06,       1.1752e-06,     1.43e-05
       129, 6748.574,    0.005,       4.4234e-06,       4.4234e-06,     2.79e-05,       1.1543e-06,       1.1543e-06,     1.41e-05
       130, 6803.721,    0.005,       3.0467e-06,       3.0467e-06,     2.26e-05,       1.1691e-06,       1.1691e-06,     1.42e-05
       131, 6858.009,    0.005,       1.0643e-05,       1.0643e-05,     4.31e-05,       1.2311e-06,       1.2311e-06,     1.42e-05
       132, 6913.425,    0.005,       9.3507e-06,       9.3507e-06,        4e-05,       1.1505e-06,       1.1505e-06,     1.38e-05
       133, 6966.716,    0.005,       5.0215e-06,       5.0215e-06,     2.98e-05,       1.1862e-06,       1.1862e-06,     1.42e-05
       134, 7021.720,    0.005,       3.2841e-06,       3.2841e-06,     2.33e-05,       1.1197e-06,       1.1197e-06,     1.39e-05
       135, 7075.479,    0.005,        4.293e-06,        4.293e-06,      2.7e-05,       1.1278e-06,       1.1278e-06,      1.4e-05
       136, 7133.194,    0.005,       1.4086e-05,       1.4086e-05,        5e-05,        1.249e-06,        1.249e-06,     1.46e-05
       137, 7189.911,    0.005,       5.2841e-06,       5.2841e-06,     2.97e-05,       1.2197e-06,       1.2197e-06,     1.46e-05
       138, 7246.654,    0.005,       4.0496e-06,       4.0496e-06,     2.53e-05,       1.1672e-06,       1.1672e-06,     1.42e-05
       139, 7303.190,    0.005,       2.5505e-06,       2.5505e-06,     2.04e-05,       1.0966e-06,       1.0966e-06,     1.35e-05
       140, 7359.513,    0.005,        2.376e-06,        2.376e-06,     2.05e-05,       1.0441e-06,       1.0441e-06,     1.33e-05
       141, 7416.780,    0.005,       1.8425e-06,       1.8425e-06,     1.81e-05,       9.9314e-07,       9.9314e-07,     1.31e-05
       142, 7472.757,    0.005,       3.4957e-06,       3.4957e-06,     2.43e-05,       9.5465e-07,       9.5465e-07,      1.3e-05
       143, 7528.988,    0.005,       6.8412e-06,       6.8412e-06,     3.55e-05,       1.0054e-06,       1.0054e-06,     1.33e-05
       144, 7585.173,    0.005,       7.4046e-06,       7.4046e-06,     3.42e-05,       1.0134e-06,       1.0134e-06,     1.34e-05
