epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, H_f_mae, C_f_mae, psavg_f_mae, H_f_rmse, C_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    8,    19,         0.019069,         0.019041,       2.8115e-05,           3.2614,           4.2253,           2.8017,           3.7868,           3.2943,           3.6039,           4.8388,           4.2213,           2.2906,          0.15271
    8,    20,         0.019964,         0.019958,       5.7625e-06,           3.3378,           4.3259,           2.6918,           4.0762,            3.384,           3.4626,           5.1379,           4.3003,            0.925,         0.061667
    9,     1,         0.018887,         0.018881,       5.3664e-06,           3.2577,           4.2076,           2.6478,           3.9549,           3.3013,           3.4948,           4.8968,           4.1958,          0.81875,         0.054583
    9,     2,         0.016433,         0.016402,       3.0923e-05,           2.8364,           3.9216,           2.6458,           3.0542,             2.85,           3.7536,           4.1053,           3.9294,           1.9469,          0.12979
    9,     3,         0.024109,         0.024097,       1.1889e-05,           3.7119,           4.7533,            3.138,           4.3678,           3.7529,           3.9914,           5.4963,           4.7438,           1.2906,         0.086042
    9,     4,          0.01628,         0.016268,       1.2192e-05,           3.0711,           3.9056,           2.8097,           3.3697,           3.0897,           3.6064,           4.2218,           3.9141,           1.5469,          0.10312
    9,     5,         0.019394,         0.019368,       2.5866e-05,           3.0836,           4.2615,           2.8375,           3.3649,           3.1012,            3.632,           4.8825,           4.2572,            2.225,          0.14833
    9,     6,         0.015852,         0.015816,       3.6059e-05,           3.0052,            3.851,           2.5028,           3.5794,           3.0411,           3.3276,           4.3731,           3.8504,           2.4344,          0.16229
    9,     7,         0.016062,         0.016025,       3.7467e-05,           2.8734,           3.8763,           2.2156,           3.6252,           2.9204,           3.0085,           4.6749,           3.8417,           2.5687,          0.17125
    9,     8,           0.0225,         0.022494,       6.3131e-06,           3.3901,           4.5925,           2.5666,           4.3312,           3.4489,           3.4293,           5.6352,           4.5322,          0.94063,         0.062708
    9,     9,         0.017396,         0.017387,       9.6349e-06,            3.087,           4.0376,           2.6214,           3.6191,           3.1203,           3.3257,           4.7216,           4.0237,           1.2625,         0.084167
    9,    10,         0.018414,         0.018386,       2.8142e-05,           3.1348,            4.152,           2.6016,           3.7442,           3.1729,            3.151,            5.059,            4.105,            2.125,          0.14167
    9,    11,         0.027234,         0.027171,       6.3783e-05,           3.7854,           5.0474,           3.6071,           3.9892,           3.7982,            4.805,            5.311,            5.058,           3.4281,          0.22854
    9,    12,         0.024248,         0.024112,       0.00013677,           3.5421,           4.7548,           2.8714,           4.3087,             3.59,           3.8008,           5.6512,            4.726,           5.1375,           0.3425
    9,    13,         0.015868,         0.015817,       5.0705e-05,           2.9473,           3.8511,           2.8429,           3.0667,           2.9548,           3.6529,           4.0657,           3.8593,           3.1469,          0.20979
    9,    14,         0.019951,         0.019853,       9.8087e-05,           3.3829,           4.3145,           2.8545,           3.9869,           3.4207,           3.5428,           5.0542,           4.2985,           4.4313,          0.29542
    9,    15,         0.020778,         0.020753,       2.4189e-05,            3.293,           4.4113,           2.7395,           3.9256,           3.3325,           3.6321,           5.1596,           4.3959,           2.0281,          0.13521
    9,    16,         0.012412,         0.012386,       2.6461e-05,           2.6467,           3.4078,           2.1833,           3.1763,           2.6798,           2.8896,           3.9171,           3.4033,           2.3156,          0.15438
    9,    17,         0.019964,         0.019918,       4.5407e-05,           3.3809,           4.3216,           3.1085,           3.6921,           3.4003,           4.0562,           4.6063,           4.3312,           2.8625,          0.19083
    9,    18,         0.018014,         0.017786,       0.00022896,            3.202,           4.0837,           2.9855,           3.4495,           3.2175,           3.8131,           4.3725,           4.0928,           6.8063,          0.45375
    9,    19,         0.030354,         0.029993,       0.00036122,           3.6582,           5.3031,           2.7944,           4.6454,           3.7199,            3.971,           6.4993,           5.2352,           8.6406,          0.57604
    9,    20,         0.016457,         0.016243,       0.00021401,           3.1113,           3.9025,           2.5072,           3.8017,           3.1544,           3.1967,           4.5778,           3.8873,           6.5625,           0.4375
   10,     1,         0.016495,         0.016421,       7.3907e-05,           2.9918,           3.9239,           2.4399,           3.6225,           3.0312,           3.1607,           4.6451,           3.9029,           3.9375,           0.2625
   10,     2,         0.019023,         0.019004,       1.9428e-05,           3.2335,           4.2212,           2.7171,           3.8236,           3.2704,           3.3858,           5.0082,            4.197,           1.4219,         0.094792
