epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        36,  351.984,    0.005,        0.0030689,       7.0515e-06,         0.003076,      0.00144,      0.00208,      0.00117,            0,      0.00169,     0.000952,      0.00175,            0,      0.00234,      0.00136,      0.00273,     7.19e-05,        0.0022275,       1.7193e-07,        0.0022276,      0.00111,      0.00177,     0.000996,            0,      0.00122,     0.000738,      0.00169,            0,      0.00185,      0.00118,     0.000448,     1.18e-05
        37,  361.707,    0.005,        0.0025898,       4.0579e-06,        0.0025939,       0.0013,      0.00191,      0.00109,            0,      0.00149,     0.000861,      0.00169,            0,      0.00209,      0.00126,      0.00216,     5.67e-05,        0.0021472,       1.6967e-07,        0.0021474,      0.00108,      0.00174,     0.000971,            0,      0.00118,     0.000718,      0.00167,            0,      0.00181,      0.00116,     0.000458,     1.21e-05
        38,  371.445,    0.005,        0.0032602,       8.4084e-06,        0.0032687,      0.00151,      0.00215,      0.00124,            0,      0.00176,        0.001,      0.00184,            0,      0.00238,      0.00141,      0.00328,     8.63e-05,        0.0021005,       1.5084e-07,        0.0021006,      0.00107,      0.00172,     0.000959,            0,      0.00116,     0.000708,      0.00165,            0,      0.00179,      0.00114,     0.000424,     1.12e-05
        39,  381.154,    0.005,        0.0029146,       6.5095e-06,        0.0029211,      0.00142,      0.00203,      0.00116,            0,      0.00165,     0.000937,      0.00174,            0,      0.00226,      0.00133,      0.00281,     7.39e-05,        0.0020577,       1.4778e-07,        0.0020579,      0.00105,       0.0017,     0.000947,            0,      0.00115,     0.000699,      0.00163,            0,      0.00177,      0.00113,     0.000419,      1.1e-05
        40,  390.791,    0.005,        0.0030286,       8.8727e-06,        0.0030374,      0.00144,      0.00207,      0.00116,            0,      0.00169,     0.000951,      0.00177,            0,       0.0023,      0.00136,      0.00335,      8.8e-05,        0.0020168,       1.5533e-07,         0.002017,      0.00104,      0.00169,     0.000929,            0,      0.00113,     0.000687,      0.00162,            0,      0.00175,      0.00112,     0.000422,     1.11e-05
        41,  400.396,    0.005,         0.002583,       4.0159e-06,         0.002587,       0.0013,      0.00191,      0.00103,            0,      0.00154,     0.000857,      0.00161,            0,      0.00214,      0.00125,      0.00217,     5.72e-05,        0.0019664,       1.5765e-07,        0.0019665,      0.00101,      0.00167,     0.000909,            0,       0.0011,      0.00067,       0.0016,            0,      0.00172,      0.00111,     0.000432,     1.14e-05
        42,  409.994,    0.005,        0.0027865,       5.5997e-06,        0.0027921,      0.00137,      0.00198,      0.00112,            0,      0.00159,     0.000904,      0.00171,            0,      0.00219,       0.0013,      0.00255,     6.71e-05,        0.0019299,       1.4647e-07,        0.0019301,        0.001,      0.00165,     0.000901,            0,      0.00109,     0.000664,      0.00159,            0,       0.0017,       0.0011,     0.000415,     1.09e-05
        43,  419.602,    0.005,         0.003363,       8.5381e-06,        0.0033715,      0.00152,      0.00218,       0.0012,            0,      0.00182,        0.001,      0.00182,            0,      0.00246,      0.00143,       0.0032,     8.43e-05,        0.0019212,       1.3086e-07,        0.0019213,     0.000993,      0.00165,     0.000889,            0,      0.00109,     0.000659,      0.00158,            0,       0.0017,       0.0011,     0.000381,        1e-05
        44,  429.190,    0.005,        0.0028708,       5.0146e-06,        0.0028758,      0.00139,      0.00201,      0.00111,            0,      0.00164,     0.000917,      0.00169,            0,      0.00226,      0.00132,      0.00252,     6.63e-05,        0.0018827,       1.2575e-07,        0.0018828,     0.000978,      0.00163,     0.000877,            0,      0.00107,     0.000648,      0.00157,            0,      0.00168,      0.00108,      0.00038,        1e-05
        45,  438.753,    0.005,        0.0026882,       6.2891e-06,        0.0026945,      0.00134,      0.00195,      0.00111,            0,      0.00154,     0.000883,      0.00169,            0,      0.00215,      0.00128,      0.00276,     7.25e-05,        0.0018416,       1.2795e-07,        0.0018418,     0.000963,      0.00161,     0.000868,            0,      0.00105,     0.000639,      0.00156,            0,      0.00166,      0.00107,     0.000385,     1.01e-05
        46,  448.301,    0.005,         0.002858,       5.9643e-06,         0.002864,      0.00138,      0.00201,      0.00103,            0,      0.00169,     0.000907,      0.00161,            0,      0.00231,      0.00131,      0.00277,     7.29e-05,          0.00181,       1.3285e-07,        0.0018101,     0.000951,       0.0016,     0.000854,            0,      0.00104,     0.000631,      0.00155,            0,      0.00164,      0.00106,     0.000412,     1.08e-05
        47,  457.866,    0.005,        0.0026288,        5.524e-06,        0.0026344,      0.00133,      0.00193,      0.00105,            0,      0.00158,     0.000876,      0.00161,            0,      0.00217,      0.00126,      0.00259,     6.82e-05,        0.0017818,       1.1423e-07,        0.0017819,     0.000942,      0.00159,     0.000846,            0,      0.00103,     0.000625,      0.00154,            0,      0.00163,      0.00106,     0.000369,     9.72e-06
        48,  467.488,    0.005,        0.0028172,       4.8152e-06,         0.002822,      0.00139,      0.00199,      0.00109,            0,      0.00167,     0.000919,      0.00166,            0,      0.00225,       0.0013,      0.00254,     6.68e-05,        0.0017628,       1.3676e-07,        0.0017629,     0.000933,      0.00158,     0.000836,            0,      0.00102,     0.000618,      0.00153,            0,      0.00162,      0.00105,     0.000407,     1.07e-05
        49,  477.092,    0.005,        0.0024494,       3.3658e-06,        0.0024528,      0.00127,      0.00186,      0.00102,            0,       0.0015,     0.000839,      0.00157,            0,      0.00208,      0.00122,       0.0021,     5.52e-05,        0.0017275,       1.2478e-07,        0.0017277,     0.000914,      0.00156,     0.000818,            0,        0.001,     0.000606,      0.00152,            0,       0.0016,      0.00104,     0.000396,     1.04e-05
        50,  486.871,    0.005,        0.0025784,       4.8734e-06,        0.0025833,       0.0013,      0.00191,      0.00103,            0,      0.00154,     0.000857,      0.00161,            0,      0.00214,      0.00125,      0.00251,     6.62e-05,        0.0017013,       1.3688e-07,        0.0017014,     0.000904,      0.00155,      0.00081,            0,     0.000988,     0.000599,      0.00151,            0,      0.00159,      0.00103,     0.000411,     1.08e-05
