epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        36, 5929.440,    0.005,        0.0031571,       1.3382e-05,        0.0031705,      0.00141,      0.00207,      0.00112,            0,      0.00167,      0.00093,      0.00176,            0,      0.00231,      0.00136,      0.00414,     0.000109,        0.0019074,       8.0703e-07,        0.0019082,      0.00107,      0.00163,     0.000931,            0,      0.00119,     0.000708,      0.00151,            0,      0.00174,      0.00108,      0.00106,      2.8e-05
        37, 6099.007,    0.005,        0.0040888,       2.3197e-05,         0.004112,      0.00167,      0.00239,      0.00131,            0,      0.00199,       0.0011,        0.002,            0,       0.0027,      0.00156,      0.00547,     0.000144,        0.0018769,       6.9138e-07,        0.0018776,      0.00106,      0.00162,     0.000924,            0,      0.00118,       0.0007,       0.0015,            0,      0.00172,      0.00107,     0.000975,     2.57e-05
        38, 6295.964,    0.005,        0.0033464,       1.5071e-05,        0.0033615,      0.00151,      0.00216,       0.0012,            0,      0.00179,     0.000998,      0.00182,            0,      0.00243,      0.00142,      0.00432,     0.000114,        0.0018314,       6.9677e-07,        0.0018321,      0.00104,       0.0016,     0.000902,            0,      0.00116,     0.000688,      0.00148,            0,       0.0017,      0.00106,     0.000984,     2.59e-05
        39, 6504.409,    0.005,        0.0033134,       1.4455e-05,        0.0033278,      0.00148,      0.00215,       0.0012,            0,      0.00174,     0.000978,      0.00183,            0,       0.0024,      0.00141,      0.00419,      0.00011,         0.001781,       6.9619e-07,        0.0017817,      0.00102,      0.00158,     0.000889,            0,      0.00114,     0.000675,      0.00146,            0,      0.00168,      0.00105,     0.000986,      2.6e-05
        40, 6696.984,    0.005,         0.003554,       1.5682e-05,        0.0035697,      0.00156,      0.00223,      0.00123,            0,      0.00186,      0.00103,      0.00187,            0,      0.00251,      0.00146,      0.00449,     0.000118,        0.0017481,       6.6283e-07,        0.0017488,      0.00101,      0.00156,     0.000877,            0,      0.00112,     0.000667,      0.00145,            0,      0.00166,      0.00104,     0.000961,     2.53e-05
        41, 6863.450,    0.005,         0.003339,        1.682e-05,        0.0033559,      0.00149,      0.00216,       0.0012,            0,      0.00175,     0.000981,      0.00185,            0,      0.00241,      0.00142,      0.00427,     0.000112,        0.0017104,       6.1701e-07,         0.001711,     0.000992,      0.00155,     0.000865,            0,      0.00111,     0.000657,      0.00143,            0,      0.00164,      0.00102,     0.000935,     2.46e-05
        42, 7030.531,    0.005,        0.0036236,        1.764e-05,        0.0036412,      0.00156,      0.00225,      0.00124,            0,      0.00185,      0.00103,      0.00187,            0,      0.00254,      0.00147,       0.0048,     0.000126,        0.0016799,       5.7814e-07,        0.0016805,      0.00098,      0.00153,     0.000855,            0,      0.00109,     0.000649,      0.00142,            0,      0.00162,      0.00102,     0.000905,     2.38e-05
        43, 7199.298,    0.005,        0.0029785,         1.11e-05,        0.0029896,      0.00138,      0.00204,       0.0011,            0,      0.00164,     0.000913,      0.00175,            0,      0.00227,      0.00134,      0.00366,     9.64e-05,        0.0016307,       5.3529e-07,        0.0016312,     0.000957,      0.00151,     0.000834,            0,      0.00107,     0.000634,      0.00141,            0,       0.0016,        0.001,     0.000869,     2.29e-05
        44, 7367.885,    0.005,        0.0032911,        1.429e-05,        0.0033053,      0.00149,      0.00214,      0.00116,            0,      0.00179,     0.000984,      0.00178,            0,      0.00242,       0.0014,      0.00425,     0.000112,        0.0016073,       4.8208e-07,        0.0016077,     0.000947,       0.0015,     0.000826,            0,      0.00106,     0.000627,       0.0014,            0,      0.00159,     0.000994,      0.00084,     2.21e-05
        45, 7537.000,    0.005,         0.003393,       8.9662e-06,        0.0034019,      0.00149,      0.00218,       0.0011,            0,      0.00184,      0.00098,      0.00175,            0,       0.0025,      0.00142,      0.00342,        9e-05,        0.0015811,       4.3026e-07,        0.0015815,     0.000937,      0.00149,     0.000815,            0,      0.00105,     0.000621,      0.00139,            0,      0.00157,     0.000986,     0.000778,     2.05e-05
