epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, H_f_mae, C_f_mae, psavg_f_mae, H_f_rmse, C_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    2,    58,          0.11167,          0.10887,        0.0028006,        0.0090394,         0.012478,        0.0050682,         0.012613,        0.0088408,        0.0067506,         0.015963,         0.011357,         0.075134,        0.0019772
    2,    59,         0.058101,         0.057914,       0.00018711,        0.0065886,        0.0091006,        0.0039181,         0.008992,        0.0064551,        0.0050947,         0.011576,        0.0083353,         0.019543,        0.0005143
    2,    60,         0.089321,         0.089095,       0.00022592,        0.0079639,         0.011288,        0.0040912,         0.011449,        0.0077703,        0.0052222,         0.014749,        0.0099857,         0.019922,       0.00052426
    3,     1,         0.057473,          0.05698,       0.00049275,         0.006864,         0.009027,        0.0048813,        0.0086484,        0.0067648,        0.0060574,         0.011036,        0.0085469,         0.029797,       0.00078414
    3,     2,         0.075151,         0.074641,       0.00050988,        0.0076038,         0.010332,        0.0045091,         0.010389,         0.007449,        0.0057051,         0.013173,        0.0094389,         0.032275,       0.00084935
    3,     3,         0.085586,         0.085048,       0.00053871,        0.0083905,         0.011028,        0.0052869,         0.011184,        0.0082353,        0.0067017,         0.013808,         0.010255,         0.032715,       0.00086092
    3,     4,         0.066671,         0.066584,       8.7324e-05,        0.0071518,        0.0097581,         0.004654,        0.0093997,        0.0070269,        0.0059864,         0.012193,        0.0090896,          0.01322,        0.0003479
    3,     5,         0.064258,         0.063975,       0.00028278,        0.0073625,         0.009565,        0.0050388,        0.0094538,        0.0072463,        0.0062678,         0.011768,        0.0090177,         0.022107,       0.00058176
    3,     6,         0.056206,          0.05547,        0.0007353,        0.0067975,        0.0089066,        0.0049678,        0.0084443,         0.006706,        0.0061447,         0.010805,        0.0084747,         0.037268,       0.00098074
    3,     7,         0.058647,         0.058252,       0.00039497,        0.0069513,        0.0091272,        0.0042482,        0.0093841,        0.0068161,        0.0054229,         0.011481,        0.0084519,         0.028357,       0.00074624
    3,     8,         0.052344,         0.052057,       0.00028746,        0.0065657,        0.0086282,        0.0044724,        0.0084498,        0.0064611,        0.0056935,         0.010596,        0.0081447,         0.023767,       0.00062545
    3,     9,         0.052713,         0.052652,       6.1347e-05,        0.0064498,        0.0086773,        0.0039427,        0.0087061,        0.0063244,        0.0049891,         0.010985,        0.0079868,         0.010669,       0.00028076
    3,    10,         0.059289,          0.05923,       5.8434e-05,        0.0069102,        0.0092035,        0.0048867,        0.0087313,         0.006809,        0.0060743,         0.011302,         0.008688,        0.0087769,       0.00023097
    3,    11,         0.050685,         0.050508,       0.00017687,        0.0062427,        0.0084989,        0.0036812,         0.008548,        0.0061146,        0.0047755,         0.010803,        0.0077895,         0.018213,       0.00047929
    3,    12,         0.061828,         0.061549,       0.00027871,        0.0069597,         0.009382,        0.0040819,        0.0095498,        0.0068158,        0.0052784,         0.011923,        0.0086008,          0.02356,       0.00061999
    3,    13,         0.050485,          0.05041,       7.4675e-05,        0.0062831,        0.0084906,        0.0040165,         0.008323,        0.0061698,        0.0053668,         0.010538,        0.0079524,         0.010999,       0.00028944
    3,    14,         0.059262,         0.059219,       4.3046e-05,        0.0067829,        0.0092026,        0.0039396,        0.0093418,        0.0066407,         0.005009,         0.011761,        0.0083851,        0.0091675,       0.00024125
    3,    15,         0.045757,         0.045676,       8.0573e-05,        0.0059633,        0.0080821,        0.0035973,        0.0080928,         0.005845,        0.0048746,         0.010135,        0.0075049,         0.010193,       0.00026823
    3,    16,         0.056032,         0.055897,       0.00013478,        0.0066738,        0.0089408,        0.0040506,        0.0090347,        0.0065427,        0.0051958,         0.011295,        0.0082456,          0.01532,       0.00040315
    3,    17,         0.047789,         0.047783,       6.5642e-06,        0.0061391,        0.0082664,        0.0040091,        0.0080561,        0.0060326,        0.0050978,         0.010317,        0.0077075,        0.0030884,       8.1273e-05
    3,    18,         0.050441,         0.050228,         0.000213,         0.006284,        0.0084753,        0.0036785,         0.008629,        0.0061538,        0.0047234,         0.010789,        0.0077561,         0.019531,       0.00051398
    3,    19,         0.044011,         0.043756,       0.00025571,        0.0059267,        0.0079104,        0.0037986,         0.007842,        0.0058203,        0.0049258,        0.0098516,        0.0073887,         0.021985,       0.00057855
    3,    20,         0.042383,         0.042208,       0.00017449,        0.0058389,        0.0077692,        0.0037197,        0.0077461,        0.0057329,        0.0047841,        0.0096999,         0.007242,         0.018677,       0.00049149
    3,    21,         0.041237,         0.041197,       3.9339e-05,        0.0057775,        0.0076757,        0.0035684,        0.0077657,        0.0056671,        0.0046212,        0.0096291,        0.0071252,        0.0074097,       0.00019499
    3,    22,         0.037476,         0.037467,       8.8531e-06,        0.0055939,        0.0073199,        0.0038008,        0.0072078,        0.0055043,        0.0047215,        0.0090411,        0.0068813,        0.0032471,       8.5449e-05
    3,    23,         0.043281,         0.043232,       4.9539e-05,        0.0058593,        0.0078629,        0.0038692,        0.0076505,        0.0057598,        0.0050753,          0.00971,        0.0073926,        0.0070312,       0.00018503
    3,    24,         0.045924,         0.045893,       3.1126e-05,        0.0059436,        0.0081013,        0.0036961,        0.0079662,        0.0058312,        0.0048531,         0.010174,        0.0075133,        0.0074097,       0.00019499
    3,    25,         0.042104,         0.042101,       2.9973e-06,        0.0059479,        0.0077594,        0.0038667,         0.007821,        0.0058439,        0.0050183,        0.0095777,         0.007298,        0.0023071,       6.0714e-05
    3,    26,          0.04658,         0.046565,        1.495e-05,        0.0057763,        0.0081604,        0.0033478,        0.0079619,        0.0056548,         0.004543,          0.01039,        0.0074665,        0.0042603,       0.00011211
    3,    27,         0.042875,          0.04278,       9.4303e-05,        0.0058527,        0.0078218,        0.0037546,        0.0077409,        0.0057478,        0.0049747,        0.0096938,        0.0073342,         0.012561,       0.00033055
    3,    28,         0.037883,         0.037749,       0.00013431,        0.0055736,        0.0073474,        0.0036102,        0.0073406,        0.0054754,        0.0047767,        0.0090573,         0.006917,         0.015833,       0.00041665
    3,    29,         0.042552,         0.042361,       0.00019086,        0.0061424,        0.0077833,        0.0042978,        0.0078025,        0.0060501,        0.0053623,        0.0094458,         0.007404,         0.019775,       0.00052041
    3,    30,         0.049345,         0.049017,       0.00032808,        0.0061461,        0.0083725,        0.0037424,        0.0083095,        0.0060259,        0.0049127,         0.010558,        0.0077352,         0.025781,       0.00067845
    3,    31,         0.047449,         0.047422,       2.7124e-05,        0.0061627,        0.0082351,        0.0045806,        0.0075865,        0.0060836,        0.0060229,        0.0098084,        0.0079156,        0.0069092,       0.00018182
